,Адрес,Количество комнат,Площадь,Этаж,Срок экспозиции,Начальная цена,Начальная цена за 1 метр,Цена при снятии,Цена при снятии за 1 метр,Опубликовано,Дата снятия
0,test,test,test ,test, test  ,test,test,test,test,test,test
314,"пер. Электрозаводский 1-й, д. 4",1,"41,3",11, 133 ,13400000,324456,11700000,283293,10.03.2020,20.07.2020
315,"пер. Электрозаводский 1-й, д. 4",3,85,16, 52 ,26900000,316471,26800000,315295,04.02.2020,26.03.2020
316,"пер. Электрозаводский 1-й, д. 4",свободная планировка,"83,8",16, 204 ,28900000,344869,26400000,315036,15.07.2019,03.02.2020
317,"пер. Электрозаводский 1-й, д. 4",1,45,16, 161 ,14000000,311112,13000000,288867,22.01.2019,01.07.2019
318,"пер. Электрозаводский 1-й, д. 4",2,56,7, 61 ,15500000,276786,14500000,258929,28.03.2019,27.05.2019
319,"пер. Электрозаводский 1-й, д. 4",1,"41,4",13, 4 ,11300000,272923,11300000,272923,26.01.2019,29.01.2019
320,"пер. Электрозаводский 1-й, д. 4",1,40,2, 12 ,11500000,287500,11200000,280000,12.11.2018,23.11.2018
321,"пер. Электрозаводский 1-й, д. 4",1,43,2, 140 ,12000000,279070,11600000,269768,06.07.2018,22.11.2018
322,"пер. Электрозаводский 1-й, д. 4",3,81,4, 57 ,23000000,283951,23000000,283951,25.09.2018,20.11.2018
323,"пер. Электрозаводский 1-й, д. 4",3,86,16, 556 ,33000000,383721,29000000,337198,11.05.2017,17.11.2018
324,"пер. Электрозаводский 1-й, д. 4",2,"54,2",5, 21 ,14000000,258303,14000000,258303,30.09.2018,20.10.2018
325,"пер. Электрозаводский 1-й, д. 4",2,"54,3",7, 8 ,15000000,276244,15000000,276244,13.09.2018,20.09.2018
326,"пер. Электрозаводский 1-й, д. 4",1,45,11, 6 ,12500000,277778,12500000,277778,14.08.2018,19.08.2018
327,"пер. Электрозаводский 1-й, д. 4",3,"79,8",5, 546 ,25700000,322056,24500000,307018,10.11.2016,09.05.2018
328,"пер. Электрозаводский 1-й, д. 4",3,60,1, 137 ,11800000,196667,10800000,180000,19.12.2017,04.05.2018
329,"пер. Электрозаводский 1-й, д. 4",2,58,4, 435 ,18000000,310345,16500000,284483,13.02.2017,23.04.2018
330,"пер. Электрозаводский 1-й, д. 4",1,"41,5",10, 6 ,10500000,253013,10500000,253013,07.03.2018,12.03.2018
331,"пер. Электрозаводский 1-й, д. 4",2,55,9, 19 ,15000000,272728,15000000,272728,20.01.2018,07.02.2018
332,"пер. Электрозаводский 1-й, д. 4",3,80,8, 191 ,28000000,350000,28000000,350000,01.08.2017,07.02.2018
333,"пер. Электрозаводский 1-й, д. 4",2,"57,5",4, 54 ,16500000,286957,15700000,273044,19.09.2016,11.11.2016
334,"пер. Электрозаводский 1-й, д. 4",2,65,11, 58 ,16000000,246154,15150000,233077,25.08.2016,21.10.2016
335,"пер. Электрозаводский 1-й, д. 4",2,66,4, 4 ,10000000,151516,10000000,151516,20.09.2016,23.09.2016
336,"пер. Электрозаводский 1-й, д. 4",3,61,1, 168 ,18000000,295082,18000000,295082,29.03.2016,12.09.2016
337,"пер. Электрозаводский 1-й, д. 4",1,42,14, 155 ,12500000,297620,11500000,273810,10.11.2015,12.04.2016
338,"пер. Электрозаводский 1-й, д. 4",3,80,7, 176 ,27900000,348750,24990000,312375,30.07.2015,21.01.2016
339,"пер. Электрозаводский 1-й, д. 4",3,78,2, 17 ,17000000,217949,17000000,217949,17.11.2015,03.12.2015
340,"пер. Электрозаводский 1-й, д. 4",1,36,8, 111 ,5110000,141945,5110000,141945,05.08.2015,23.11.2015
341,"пер. Электрозаводский 1-й, д. 4",1,37,2, 238 ,7150000,193244,6400000,172973,11.03.2015,03.11.2015
342,"пер. Электрозаводский 1-й, д. 4",2,61,4, 10 ,10800000,177050,10800000,177050,24.10.2015,02.11.2015
343,"пер. Электрозаводский 1-й, д. 4",1,"40,7",13, 60 ,10600000,260443,10600000,260443,28.08.2015,26.10.2015
344,"пер. Электрозаводский 1-й, д. 4",2,60,2, 119 ,23000000,383334,21000000,350000,19.06.2015,15.10.2015
345,"пер. Электрозаводский 1-й, д. 4",2,56,3, 118 ,8540000,152500,8100000,144643,27.05.2015,21.09.2015
