,Адрес,Количество комнат,Площадь,Этаж,Срок экспозиции,Начальная цена,Начальная цена за 1 метр,Цена при снятии,Цена при снятии за 1 метр,Опубликовано,Дата снятия
0,test,test,test ,test, test  ,test,test,test,test,test,test
341,"г. Зеленоград, к. 200Б ",3 ,60 ,2 , 145  ,7500000 ,125000 ,7500000 ,125000 ,03.03.2020 ,25.07.2020 
342,"г. Зеленоград, к. 200Б ",2 ,"44,4 ",1 , 29  ,6200000 ,139640 ,5990000 ,134910 ,12.06.2020 ,10.07.2020 
343,"г. Зеленоград, к. 200Б ",2 ,"44,5 ",4 , 21  ,5250000 ,117978 ,5350000 ,120225 ,22.01.2020 ,11.02.2020 
344,"г. Зеленоград, к. 200Б ",3 ,"58,7 ",2 , 76  ,7400000 ,126065 ,7500000 ,127769 ,28.11.2019 ,11.02.2020 
345,"г. Зеленоград, к. 200Б ",2 ,"44,5 ",2 , 90  ,6000000 ,134832 ,5850000 ,131461 ,18.10.2019 ,15.01.2020 
346,"г. Зеленоград, к. 200Б ",1 ,"32,4 ",8 , 583  ,3750000 ,115741 ,3800000 ,117284 ,30.05.2018 ,02.01.2020 
347,"г. Зеленоград, к. 200Б ",3 ,50 ,7 , 219  ,6200000 ,124000 ,5850000 ,117000 ,21.05.2019 ,25.12.2019 
348,"г. Зеленоград, к. 200Б ",3 ,"59,6 ",3 , 46  ,6400000 ,107383 ,6400000 ,107383 ,29.05.2019 ,13.07.2019 
349,"г. Зеленоград, к. 200Б ",3 ,"49,8 ",8 , 77  ,5150000 ,103414 ,5150000 ,103414 ,07.09.2018 ,22.11.2018 
350,"г. Зеленоград, к. 200Б ",2 ,"44,3 ",5 , 215  ,5100000 ,115125 ,5100000 ,115125 ,27.03.2018 ,27.10.2018 
351,"г. Зеленоград, к. 200Б ",1 ,33 ,5 , 20  ,3800000 ,115152 ,3800000 ,115152 ,28.09.2018 ,17.10.2018 
352,"г. Зеленоград, к. 200Б ",2 ,"44,5 ",3 , 121  ,4500000 ,101124 ,4650000 ,104495 ,05.04.2018 ,03.08.2018 
353,"г. Зеленоград, к. 200Б ",1 ,33 ,1 , 145  ,5250000 ,159091 ,3250000 ,98485 ,01.02.2018 ,25.06.2018 
354,"г. Зеленоград, к. 200Б ",1 ,31 ,1 , 189  ,5600000 ,180646 ,3200000 ,103226 ,03.08.2017 ,07.02.2018 
355,"г. Зеленоград, к. 200Б ",2 ,"44,6 ",4 , 56  ,4700000 ,105382 ,4700000 ,105382 ,13.10.2017 ,07.12.2017 
356,"г. Зеленоград, к. 200Б ",1 ,33 ,3 , 71  ,3500000 ,106061 ,3500000 ,106061 ,27.05.2017 ,05.08.2017 
357,"г. Зеленоград, к. 200Б ",3 ,51 ,2 , 146  ,6800000 ,133334 ,6800000 ,133334 ,26.10.2016 ,20.03.2017 
358,"г. Зеленоград, к. 200Б ",3 ,59 ,3 , 92  ,5900000 ,100000 ,5900000 ,100000 ,06.05.2016 ,05.08.2016 
359,"г. Зеленоград, к. 200Б ",4 ,63 ,2 , 20  ,5200000 ,82540 ,5200000 ,82540 ,06.04.2016 ,25.04.2016 
360,"г. Зеленоград, к. 200Б ",1 ,33 ,1 , 26  ,3900000 ,118182 ,3900000 ,118182 ,16.11.2015 ,11.12.2015 
361,"г. Зеленоград, к. 200Б ",1 ,34 ,7 , 233  ,5500000 ,161765 ,5500000 ,161765 ,09.01.2015 ,29.08.2015 
362,"г. Зеленоград, к. 200Б ",2 ,44 ,1 , 106  ,5350000 ,121591 ,5350000 ,121591 ,15.04.2015 ,29.07.2015 
363,"г. Зеленоград, к. 200Б ",1 ,"32,9 ",5 , 139  ,4600000 ,139818 ,4600000 ,139818 ,01.02.2015 ,19.06.2015 
364,"г. Зеленоград, к. 200Б ",2 ,45 ,5 , 80  ,5650000 ,125556 ,5650000 ,125556 ,31.03.2015 ,18.06.2015 
365,"г. Зеленоград, к. 200В ",3 ,"59,9 ",2 , 791  ,5500000 ,91820 ,5500000 ,91820 ,03.11.2017 ,02.01.2020 
366,"г. Зеленоград, к. 200В ",3 ,50 ,1 , 1447  ,5000000 ,100000 ,5000000 ,99980 ,17.01.2016 ,02.01.2020 
367,"г. Зеленоград, к. 200В ",3 ,60 ,4 , 648  ,5500000 ,91667 ,5650000 ,94167 ,30.11.2017 ,08.09.2019 
368,"г. Зеленоград, к. 200В ",3 ,"51,9 ",4 , 206  ,5550000 ,106937 ,5400000 ,104027 ,13.02.2018 ,06.09.2018 
