,Адрес,Год постройки,Город,Количество жилых помещений,Количество лифтов,"Количество мусоропроводов, ед.",Количество подъездов,Количество этажей,Материал несущих стен,Площадь зем. участка общего имущества м2,Площадь нежилых помещений м2,Площадь парковки м2,Спортивная площадка,Тип мусоропровода
7745,"ул. Максима Горького, д. 26",1987,Сланцы,90,не указано,не указано,6,5,Панельные,7 806.00,0.00,25.00,Не имеется,Отсутствует
7746,"ул. Максима Горького, д. 28/6",1987,Сланцы,100,не указано,не указано,5,5,Панельные,5 905.00,0.00,125.00,Не имеется,Отсутствует
7747,"ул. Маяковского, д. 2",1959,Сланцы,не указано,не указано,не указано,4,3,Кирпич,1 910.78,154.25,не указано,не указано,не указано
7748,"ул. Маяковского, д. 2а",1959,Сланцы,20,не указано,не указано,4,2,Кирпич,6 829.58,0.00,0.00,не указано,Отсутствует
7749,"ул. Маяковского, д. 4а",1959,Сланцы,не указано,не указано,не указано,2,2,Кирпич,1 494.25,0.00,не указано,не указано,не указано
7750,"ул. Маяковского, д. 4",1956,Сланцы,24,не указано,не указано,3,3,Кирпич,2 677.00,0.00,0.00,Не имеется,Отсутствует
7751,"ул. Маяковского, д. 6а",1959,Сланцы,не указано,не указано,не указано,2,2,Кирпич,1 277.55,0.00,не указано,не указано,не указано
7752,"ул. Маяковского, д. 6",1956,Сланцы,15,не указано,не указано,3,3,Кирпич,2 755.00,428.20,0.00,Не имеется,Отсутствует
7753,"ул. Маяковского, д. 7",1950,Сланцы,не указано,не указано,не указано,2,2,Кирпич,1 719.18,0.00,не указано,не указано,не указано
7754,"ул. Маяковского, д. 8",1958,Сланцы,не указано,не указано,не указано,5,4,Кирпич,3 535.90,979.20,0.00,Не имеется,Отсутствует
7755,"ул. Маяковского, д. 8а",1959,Сланцы,не указано,не указано,не указано,4,2,Кирпич,6 654.10,0.00,не указано,не указано,не указано
7756,"ул. Маяковского, д. 10",1958,Сланцы,40,не указано,не указано,6,4,Кирпич,4 077.59,1 398.49,не указано,Не имеется,Отсутствует
7757,"ул. Маяковского, д. 10а",1955,Сланцы,18,не указано,не указано,3,2,Кирпич,4 567.01,0.00,0.00,Не имеется,Отсутствует
7758,"ул. Маяковского, д. 11",1950,Сланцы,не указано,не указано,не указано,2,2,Кирпич,1 806.40,0.00,не указано,не указано,не указано
7759,"ул. Маяковского, д. 12",1956,Сланцы,не указано,не указано,не указано,3,3,Кирпич,2 567.50,0.00,не указано,не указано,не указано
7760,"ул. Маяковского, д. 12а",1955,Сланцы,12,не указано,не указано,2,2,Кирпич,5 194.00,0.00,0.00,Не имеется,Отсутствует
7761,"ул. Маяковского, д. 13",1952,Сланцы,не указано,не указано,не указано,1,2,Кирпич,1 832.33,0.00,не указано,не указано,не указано
7762,"ул. Маяковского, д. 14а",1957,Сланцы,18,не указано,не указано,3,2,Кирпич,2 930.39,0.00,0.00,Не имеется,Отсутствует
7763,"ул. Маяковского, д. 14",1956,Сланцы,24,не указано,не указано,3,3,Кирпич,2 556.12,0.00,0.00,Не имеется,не указано
7764,"ул. Маяковского, д. 22",1956,Сланцы,не указано,не указано,не указано,1,2,Кирпич,3 003.20,0.00,не указано,не указано,не указано
7765,"ул. Маяковского, д. 22 а",1956,Сланцы,5,не указано,не указано,1,2,Кирпич,1 164.00,0.00,0.00,Не имеется,Отсутствует
7766,"ул. Маяковского, д. 24",1956,Сланцы,2,не указано,не указано,1,2,Кирпич,2 471.00,0.00,0.00,Не имеется,Отсутствует
7767,"пр-кт. Молодежный, д. 5",1993,Сланцы,83,не указано,не указано,5,5,Кирпич,15 203.00,15.10,0.00,Не имеется,Отсутствует
7768,"пр-кт. Молодежный, д. 5А",1991,Сланцы,100,не указано,не указано,5,5,Панельные,6 742.02,0.00,0.00,Не имеется,Отсутствует
7769,"пр-кт. Молодежный, д. 5Б",1994,Сланцы,60,не указано,не указано,3,5,Панельные,5 313.93,0.00,0.00,Не имеется,Отсутствует
7770,"пр-кт. Молодежный, д. 7",1990,Сланцы,64,не указано,не указано,4,5,Кирпич,7 200.00,47.10,750.00,Есть,Отсутствует
7771,"пр-кт. Молодежный, д. 7А",1994,Сланцы,60,не указано,не указано,3,5,Панельные,5 096.42,0.00,0.00,Не имеется,Отсутствует
7772,"пр-кт. Молодежный, д. 11",1990,Сланцы,80,не указано,не указано,4,5,Панельные,7 132.00,0.00,0.00,Не имеется,Отсутствует
7773,"пр-кт. Молодежный, д. 11А",2000,Сланцы,36,1,не указано,1,9,Кирпич,0.00,0.00,0.00,Не имеется,Отсутствует
7774,"пр-кт. Молодежный, д. 13",1987,Сланцы,144,4,не указано,4,9,Панельные,7 070.00,0.00,0.00,Не имеется,Отсутствует
7775,"пр-кт. Молодежный, д. 15",1987,Сланцы,90,не указано,не указано,6,5,Панельные,4 850.18,0.00,0.00,Не имеется,Отсутствует
7776,"пр-кт. Молодежный, д. 17",1990,Сланцы,100,не указано,не указано,5,5,Панельные,7 595.90,0.00,0.00,Не имеется,Отсутствует
7777,"ул. Октябрьская, д. 1а",1955,Сланцы,12,не указано,не указано,2,2,Кирпич,2 932.00,0.00,0.00,Не имеется,Отсутствует
7778,"пер. Островского, д. 1",1953,Сланцы,не указано,не указано,не указано,3,2,Кирпич,2 592.00,0.00,не указано,не указано,не указано
7779,"пер. Островского, д. 2",1953,Сланцы,не указано,не указано,не указано,1,2,Кирпич,1 030.70,0.00,не указано,не указано,не указано
7780,"пер. Островского, д. 3",1953,Сланцы,не указано,не указано,не указано,3,2,Кирпич,2 009.00,0.00,не указано,не указано,не указано
7781,"ул. Островского, д. 9",1953,Сланцы,12,не указано,не указано,2,2,Кирпич,2 194.50,0.00,0.00,Не имеется,Отсутствует
7782,"ул. Островского, д. 11",1953,Сланцы,18,не указано,не указано,3,2,Кирпич,6 456.50,307.00,0.00,Не имеется,Отсутствует
7783,"ул. Островского, д. 13",1953,Сланцы,18,не указано,не указано,3,2,Кирпич,2 592.00,0.00,0.00,Не имеется,Отсутствует
7784,"ул. Островского, д. 15",1954,Сланцы,12,не указано,не указано,2,2,Кирпич,1 718.50,0.00,0.00,Не имеется,Отсутствует
7785,"ул. Партизанская, д. 3",1950,Сланцы,6,не указано,не указано,1,2,Кирпич,1 260.00,0.00,0.00,Не имеется,Отсутствует
7786,"ул. Партизанская, д. 5",1951,Сланцы,6,не указано,не указано,1,2,Кирпич,1 368.00,0.00,0.00,Не имеется,Отсутствует
7787,"ул. Партизанская, д. 7/2",1950,Сланцы,12,не указано,не указано,2,2,Кирпич,2 112.00,0.00,0.00,Не имеется,Отсутствует
7788,"ул. Партизанская, д. 13а",1962,Сланцы,22,не указано,не указано,2,3,Кирпич,1 461.46,71.70,0.00,Не имеется,Отсутствует
7789,"ул. Партизанская, д. 17",1966,Сланцы,80,не указано,не указано,4,5,Кирпич,4 862.00,0.00,0.00,Не имеется,Отсутствует
7790,"ул. Партизанская, д. 19",1961,Сланцы,8,не указано,не указано,1,2,Кирпич,1 592.40,0.00,0.00,Не имеется,Отсутствует
