,Адрес,Количество комнат,Площадь,Этаж,Срок экспозиции,Начальная цена,Начальная цена за 1 метр,Цена при снятии,Цена при снятии за 1 метр,Опубликовано,Дата снятия
0,test,test,test ,test, test  ,test,test,test,test,test,test
337,"ул. Некрасова, д. 6, лит. А",2,50,8, 1530 ,27000000,540000,27000000,540000,26.10.2015,02.01.2020
338,"ул. Некрасова, д. 6, лит. А",2,"46,2",1, 250 ,2000000,43291,1750000,37879,04.04.2019,09.12.2019
339,"ул. Некрасова, д. 6, лит. А",3,64,7, 63 ,2950000,46094,2950000,46094,26.02.2019,29.04.2019
340,"ул. Некрасова, д. 6, лит. А",4,97,5, 1067 ,4000000,41217,3650000,37629,26.04.2016,28.03.2019
341,"ул. Некрасова, д. 6, лит. А",1,36,3, 27 ,1900000,52778,1900000,52778,10.01.2019,05.02.2019
342,"ул. Некрасова, д. 6, лит. А",2,"50,4",1, 454 ,1880000,37302,1900000,37699,26.10.2017,22.01.2019
343,"ул. Некрасова, д. 6, лит. А",4,"90,4",4, 365 ,3700000,40930,3850000,42589,23.11.2017,22.11.2018
344,"ул. Некрасова, д. 6, лит. А",3,65,7, 52 ,2350000,36154,2350000,36154,31.07.2018,20.09.2018
345,"ул. Некрасова, д. 6, лит. А",4,75,4, 215 ,3600000,48000,3550000,47334,19.01.2018,21.08.2018
346,"ул. Некрасова, д. 6, лит. А",2,48,3, 20 ,1850000,38542,1850000,38542,06.03.2018,25.03.2018
347,"ул. Некрасова, д. 6, лит. А",2,49,9, 42 ,2100000,42858,2100000,42858,29.12.2017,08.02.2018
348,"ул. Некрасова, д. 6, лит. А",3,"62,9",6, 774 ,3050000,48490,2750000,43721,25.12.2015,05.02.2018
349,"ул. Некрасова, д. 6, лит. А",4,77,4, 40 ,3400000,44156,3400000,44156,15.12.2017,23.01.2018
350,"ул. Некрасова, д. 6, лит. А",3,63,8, 276 ,2700000,42858,2490000,39524,14.02.2017,16.11.2017
351,"ул. Некрасова, д. 6, лит. А",1,35,3, 177 ,1640000,46858,1390000,39715,10.04.2017,03.10.2017
352,"ул. Некрасова, д. 6, лит. А",3,62,4, 46 ,2700000,43549,2700000,43549,15.05.2017,29.06.2017
353,"ул. Некрасова, д. 6, лит. А",1,35,3, 67 ,9000000,257143,9000000,257143,24.04.2017,29.06.2017
354,"ул. Некрасова, д. 6, лит. А",2,50,3, 228 ,2500000,50000,2500000,50000,26.08.2016,10.04.2017
355,"ул. Некрасова, д. 6, лит. А",2,"48,9",3, 330 ,2650000,54193,2400000,49080,30.11.2015,24.10.2016
356,"ул. Некрасова, д. 6, лит. А",2,50,8, 396 ,2450000,49000,2400000,48000,07.09.2015,06.10.2016
357,"ул. Некрасова, д. 6, лит. А",2,48,2, 213 ,2650000,55209,2650000,55209,28.08.2015,27.03.2016
358,"ул. Некрасова, д. 6, лит. А",3,64,6, 93 ,3100000,48438,2900000,45313,08.12.2015,09.03.2016
359,"ул. Некрасова, д. 6, лит. А",3,61,9, 36 ,2550000,41804,2550000,41804,28.01.2016,03.03.2016
360,"ул. Некрасова, д. 6, лит. А",3,61,9, 374 ,3500000,57378,2550000,41804,08.02.2015,16.02.2016
